code,name,priority_rank,region,zone,breakfast_mon,breakfast_tues,breakfast_wed,breakfast_thurs,breakfast_fri,breakfast_sat,breakfast_sun,lunch_mon,lunch_tues,lunch_wed,lunch_thurs,lunch_fri,lunch_sat,lunch_sun,dinner_mon,dinner_tues,dinner_wed,dinner_thurs,dinner_fri,dinner_sat,dinner_sun
2,BIDMC - West Campus,1,Longwood / Back Bay,1,,,,,,,,45,45,45,45,45,45,45,,,,,,,
3,BIDMC - East Campus,1,Longwood / Back Bay,1,,,,,,,,30,30,30,30,30,6,6,,,,,,,
4,Brigham and Women's Hospital - ED,1,Longwood / Back Bay,1,,,,,,,,,,100,,,,100,,,100,,,,100
5,Brigham and Women's - Faulkner ED,1,Roxbury / Jamaica Plain,2,,,,,,,,,,45,,,,45,,,45,,,,45
7,Boston Healthcare for the Homeless,1,South Boston,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
8,Carney Hospital - ED,1,Dorchester/Mattapan,2,,,,,,,,,,,,,,,100,100,100,100,100,100,100
9,Mattapan Community Health Center,2,Dorchester/Mattapan,2,,,,,,,,35,,35,,35,,,,,,,,,
11,Dot House Health Dorchester,2,Dorchester/Mattapan,2,,,,,,,,25,25,25,25,25,,,,,,,,,
12,VA Medical Center - West Roxbury,1,Roxbury / Jamaica Plain,2,,,,,,,,,,,,,80,80,80,80,80,80,,,
10,East Boston Neighborhood Health Center,2,East / North,3,,,,,,,,,100,,100,,50,50,,,,,,25,25
13,Upham's Corner Health Center,2,Dorchester/Mattapan,2,,,,,70,70,,70,70,70,70,,,,,,,,,,
15,Whittier Street Health Center,2,Longwood / Back Bay,1,,,,,,,,150,150,150,150,150,,,,,,,,,
18,Boston Children's Hospital - ED,1,Longwood / Back Bay,1,,,,,,,,,,,,,,,60,60,60,60,60,,
21,BIDMC - ICU West,1,Longwood / Back Bay,1,,,,,,,,,,,,,,,,60,,60,,,
22,BIDMC - ICU East,1,Longwood / Back Bay,1,,,,,,,,,,,,,,,,20,,20,,,
16,Codman Square Health Center,2,Dorchester/Mattapan,2,,,,,,,,140,140,140,140,140,,,,,,,,,
19,Southern Jamaica Plain Health Center (part of Brigham & Women's),2,Roxbury / Jamaica Plain,2,,,,,,,,30,30,30,30,30,,,,,,,,,
20,Charles River Community Health,2,Cambridge / Brighton,3,,,,,,,,24,24,24,24,24,,,,,,,,,
14,BIDMC - Chelsea,2,East / North,3,,,,,,,,20,20,20,20,20,,,,,,,,,
23,Dana Farber Cancer Institute - Inpatient PAs,1,Longwood / Back Bay,1,,,,,,,,30,30,30,30,30,20,20,,,,,,,
24,Cambridge Health Alliance - Cambridge Hospital,1,Cambridge / Brighton,3,,,,,,,,115,115,115,115,115,115,115,,,,,,,
25,Cambridge Health Alliance - Everett Hospital,1,East / North,3,,,,,,,,150,150,150,150,150,75,75,,,,,,,
30,South Boston Community Health Center,2,South Boston,2,,,,,,,,70,70,70,70,70,,,,,,,,,
26,Cambridge Health Alliance - Somerville Hospital,1,Cambridge / Brighton,3,,,,,,,,30,30,30,30,30,30,30,,,,,,,
29,Tufts Medical Center,1,East / North,3,,,,,,,,50,50,50,50,50,,,54,54,54,54,54,,
28,Boston Medical Center,1,South Boston,2,,,,,,,,400,400,400,400,400,150,150,400,400,400,400,400,150,150
31,BWH - Faulkner 7N Covid Unit,1,Roxbury / Jamaica Plain,2,,,,,,,,18,18,18,18,18,18,18,34,34,34,34,34,34,34
32,BWH - Faulkner ICU,1,Roxbury / Jamaica Plain,2,,,,,,,,17,17,17,17,17,17,17,15,15,15,15,15,15,15
33,Newton Wellesley Hospital,1,Newton,4,,,,,,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50
34,Massachusetts General Hospital - PICU,1,East / North,3,,30,,,30,,20,30,,30,30,30,,,,20,20,,,20,
35,Harvard Street Neighborhood Health Center,2,Dorchester/Mattapan,2,,,,,,,,30,30,30,30,30,,,,,,,,,
36,Brigham & Women's Hospital (COVID ICUs),1,Longwood / Back Bay,1,210,210,210,210,210,200,200,210,210,210,210,210,200,200,210,210,210,210,210,200,200
37,Massachusetts General Hospital - Central,1,East / North,3,,,,,,,,,500,,500,,300,,500,,500,,500,,300
38,North End Waterfront Health Center,2,East / North,3,,,,,,,,85,85,85,85,,,,,,,,,,
