code,name,priority_rank,region,zone,breakfast_mon,breakfast_tues,breakfast_wed,breakfast_thurs,breakfast_fri,breakfast_sat,breakfast_sun,lunch_mon,lunch_tues,lunch_wed,lunch_thurs,lunch_fri,lunch_sat,lunch_sun,dinner_mon,dinner_tues,dinner_wed,dinner_thurs,dinner_fri,dinner_sat,dinner_sun
2,BIDMC - West Campus,1,Longwood / Back Bay,1,,,,,,,,,,,,,,,,,,,,,
3,BIDMC - East Campus,1,Longwood / Back Bay,1,,,,,,,,,,,,,,,,,,,,,
4,Brigham and Women's Hospital - ED,1,Longwood / Back Bay,1,,,,,,,,,,100,,,,100,,,100,,,,100
5,Brigham and Women's - Faulkner ED,1,Roxbury / Jamaica Plain,2,,,,,,,,,,45,,,,45,,,45,,,,45
7,Boston Healthcare for the Homeless,1,South Boston,2,,,,,,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12
8,Carney Hospital - ED,1,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
9,Mattapan Community Health Center,2,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
11,Dot House Health Dorchester,2,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
12,VA Medical Center - West Roxbury,1,Roxbury / Jamaica Plain,2,,,,,,,,,,,,,,,,,,,,,
10,East Boston Neighborhood Health Center,2,East / North,3,,,,,,,,,,,,,,,,,,,,,
13,Upham's Corner Health Center,2,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
15,Whittier Street Health Center,2,Longwood / Back Bay,1,,,,,,,,,,,,,,,,,,,,,
18,Boston Children's Hospital - ED,1,Longwood / Back Bay,1,,,,,,,,,,,,,,,,,,,,,
21,BIDMC - ICU West,1,Longwood / Back Bay,1,,,,,,,,,,,,,,,,,,,,,
22,BIDMC - ICU East,1,Longwood / Back Bay,1,,,,,,,,,,,,,,,,,,,,,
16,Codman Square Health Center,2,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
19,Southern Jamaica Plain Health Center (part of Brigham & Women's),2,Roxbury / Jamaica Plain,2,,,,,,,,,,,,,,,,,,,,,
20,Charles River Community Health,2,Cambridge / Brighton,3,,,,,,,,,,,,,,,,,,,,,
14,BIDMC - Chelsea,2,East / North,3,,,,,,,,,,,,,,,,,,,,,
23,Dana Farber Cancer Institute - Inpatient PAs,1,Longwood / Back Bay,1,,,,,,,,,,,,,,,,,,,,,
24,Cambridge Health Alliance - Cambridge Hospital,1,Cambridge / Brighton,3,,,,,,,,,,,,,,,,,,,,,
25,Cambridge Health Alliance - Everett Hospital,1,East / North,3,,,,,,,,,,,,,,,,,,,,,
30,South Boston Community Health Center,2,South Boston,2,,,,,,,,,,,,,,,,,,,,,
26,Cambridge Health Alliance - Somerville Hospital,1,Cambridge / Brighton,3,,,,,,,,,,,,,,,,,,,,,
29,Tufts Medical Center,1,East / North,3,,,,,,,,,,,,,,,,,,,,,
28,Boston Medical Center,1,South Boston,2,,,,,,,,400,400,400,400,400,,,,,,,,150,150
31,BWH - Faulkner 7N Covid Unit,1,Roxbury / Jamaica Plain,2,,,,,,,,,,,,,,,,,,,,,
32,BWH - Faulkner ICU,1,Roxbury / Jamaica Plain,2,,,,,,,,,,,,,,,,,,,,,
33,Newton Wellesley Hospital,1,Newton,4,,,,,,,,,,,,,,,,,,,,,
34,Massachusetts General Hospital - PICU,1,East / North,3,,30,,,30,,20,30,,30,30,30,,,,20,20,,,20,
35,Harvard Street Neighborhood Health Center,2,Dorchester/Mattapan,2,,,,,,,,30,30,30,30,30,,,,,,,,,
36,Brigham & Women's Hospital (COVID ICUs),1,Longwood / Back Bay,1,,,,,,,,,,,,,,,,,,,,,
37,Massachusetts General Hospital - Central,1,East / North,3,,,,,,,,,,,,,,,,,,,,,
38,North End Waterfront Health Center,2,East / North,3,,,,,,,,,,,,,,,,,,,,,
