code,name,priority_rank,region,zone,breakfast_mon,breakfast_tues,breakfast_wed,breakfast_thurs,breakfast_fri,breakfast_sat,breakfast_sun,lunch_mon,lunch_tues,lunch_wed,lunch_thurs,lunch_fri,lunch_sat,lunch_sun,dinner_mon,dinner_tues,dinner_wed,dinner_thurs,dinner_fri,dinner_sat,dinner_sun
4,Brigham and Women's Hospital - ED,1,Longwood / Back Bay,1,,,,,,,,,,,,,,,,,,,,,
15,Whittier Street Health Center,2,Longwood / Back Bay,1,,,,,,,,,,,,,,,,,,,,,
18,Boston Children's Hospital - ED,1,Longwood / Back Bay,1,,,,,,,,,,,,,,,,,,,,,
23,Dana Farber Cancer Institute - Inpatient PAs,1,Longwood / Back Bay,1,,,,,,,,,,,,,,,,,,,,,
36,Brigham & Women's Hospital (COVID ICUs),1,Longwood / Back Bay,1,210,,210,,,,,,,,,,,,,,,,,,
52,Brigham and Women's Hospital - Central,1,Longwood / Back Bay,1,,,,,,,,,,,,,,,,,,,,,
53,Beth Israel Deaconess Medical Center - East Campus,1,Longwood / Back Bay,1,,,,150,,,,,,,,,,,,,,,,,
54,Beth Israel Deaconess Medical Center - West Campus,1,Longwood / Back Bay,1,,150,,,,,,,,,,,,,,,,,,,
8,Carney Hospital - ED,1,Dorchester/Mattapan,1,,,,,,,,,,,,,,,,,,,,,
9,Mattapan Community Health Center,2,Dorchester/Mattapan,1,,,,,,,,,,,,,,,,,,,,,
11,Dot House Health Dorchester,2,Dorchester/Mattapan,1,,,,,,,,,,,,,,,,,,,,,
13,Upham's Corner Health Center,2,Dorchester/Mattapan,1,,,,,70,70,,,,,,,,,,,,,,,
16,Codman Square Health Center - Site 1,2,Dorchester/Mattapan,1,,,,,,,,,,,,,,,,,,,,,
35,Harvard Street Neighborhood Health Center,2,Dorchester/Mattapan,1,,,,,,,,,,,,,,,,,,,,,
41,Codman Square Health Center - Site 2,2,Dorchester/Mattapan,1,,,,,,,,,,,,,,,,,,,,,
44,Bowdoin Street Health Center,2,Dorchester/Mattapan,1,,,,,,,,,,,,,,,,,,,,,
50,Pine Street Inn Holy Family Shelter,2,Dorchester/Mattapan,1,3,3,3,3,3,3,3,,,,,,,,,,,,,,
5,BWH - Faulkner ED,1,Roxbury / Jamaica Plain,1,,,,,,,,,,,,,,,,,,,,,
12,VA Medical Center - West Roxbury,1,Roxbury / Jamaica Plain,1,,,,,,,,,,,,,,,,,,,,,
19,Southern Jamaica Plain Health Center (part of Brigham & Women's),2,Roxbury / Jamaica Plain,1,,,,,,,,,,,,,,,,,,,,,
31,BWH - Faulkner 7N Covid Unit,1,Roxbury / Jamaica Plain,1,,,,,,,,,,,,,,,,,,,,,
32,BWH - Faulkner ICU,1,Roxbury / Jamaica Plain,1,,,,,,,,,,,,,,,,,,,,,
40,Dimock Center,2,Roxbury / Jamaica Plain,1,,,15,,,,,,,,,,,,,,,,,,
49,Pine Street Inn Shattuck Shelter,2,Roxbury / Jamaica Plain,1,4,4,4,4,4,4,4,,,,,,,,,,,,,,
51,BWH - Faulkner Hospital Central,1,Roxbury / Jamaica Plain,1,,,,,,,,,,,,,,,,,,,,,
7,Boston Healthcare for the Homeless - Tents,1,South Boston,1,12,12,12,12,12,12,12,,,,,,,,,,,,,,
28,Boston Medical Center,1,South Boston,1,,,,,,,,,,,,,,,,,,,,,
30,South Boston Community Health Center,2,South Boston,1,,,,,,,,,,,,,,,,,,,,,
39,Boston Healthcare for the Homeless - Albany Street,1,South Boston,1,,,,,,,,,,,,,,,,,,,,,
45,South End Community Health Center,2,South Boston,1,,,,,,,,,,,,,,,,,,,,,
47,Pine Street Inn - Site 1,2,South Boston,1,19,19,19,19,19,20,20,,,,,,,,,,,,,,
48,Pine Street Inn - Site 2,2,South Boston,1,7,7,7,7,7,7,7,,,,,,,,,,,,,,
10,East Boston Neighborhood Health Center,2,East / North,1,,,,,,,,,,,,,,,,,,,,,
14,BIDMC - Chelsea,2,East / North,1,,,,,,,,,,,,,,,,,,,,,
25,Cambridge Health Alliance - Everett Hospital,1,East / North,1,,,,,,,,,,,,,,,,,,,,,
29,Tufts Medical Center,1,East / North,1,,,,,,,,,,,,,,,,,,,,,
34,Massachusetts General Hospital - PICU,1,East / North,1,,30,,,30,,20,,,,,,,,,,,,,,
37,Massachusetts General Hospital - Central,1,East / North,1,,,,,,,,,,,,,,,,,,,,,
46,Boston EMS - South End,1,East / North,1,20,7,25,,,,,,,,,,,,,,,,,,
24,Cambridge Health Alliance - Cambridge Hospital,1,Cambridge / Brighton,1,,,,,,,,,,,,,,,,,,,,,
42,Mt. Auburn Hospital,1,Cambridge / Brighton,1,,,,,,,,,,,,,,,,,,,,,
20,Charles River Community Health,2,Allston / Newton,1,,,,,,,,,,,,,,,,,,,,,
33,Newton Wellesley Hospital,1,Allston / Newton,1,,,,,,,,,,,,,,,,,,,,,
43,Steward St. Elizabeth's Medical Center,1,Allston / Newton,1,,,,,,,,,,,,,,,,,,,,,
