code,name,founder,max_days_per_week,breakfast_mon,breakfast_tues,breakfast_wed,breakfast_thurs,breakfast_fri,breakfast_sat,breakfast_sun,lunch_mon,lunch_tues,lunch_wed,lunch_thurs,lunch_fri,lunch_sat,lunch_sun,dinner_mon,dinner_tues,dinner_wed,dinner_thurs,dinner_fri,dinner_sat,dinner_sun,zone_1,zone_2,zone_3,zone_4,zone_5
PG,Pagu,1,7,,,,,,,,700,700,700,700,700,700,700,700,700,700,700,700,700,700,0.5,0.5,0.5,0.5,0.5
LD,Little Donkey,,7,200,200,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,0.5,0.5,0.5,0.5,0.5
MM,Mei Mei Restaurant,,3,,,,,,,,,,,,,,,,,,,120,120,120,0.5,0.5,0.5,0.5,0.5
PO,Porto,,5,,,,,,,,300,300,300,300,300,,,,,,,,,,0.5,0.5,0.5,0.5,0.5
CS,Cafe Sushi,,2,,,,,,,,,,,,,,,,100,100,100,,,,0.5,0.5,0.5,0.5,0.5
SU,Suya,,7,,,,,,,,500,500,500,500,500,500,500,500,500,500,500,500,500,500,0.5,0.8,0.5,0.5,0.5
MD,MIDA ,,7,,,,,,,,400,400,400,400,400,400,400,400,400,400,400,400,400,400,0.5,0.5,0.5,0.5,0.5
SH,Shojo & China Pearl,,7,,,,,,,,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.5,0.5,0.5,0.5,0.5
BB,Banyan Bar + Refuge (The Gallows Group),,7,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,0.5,0.5,0.5,0.5,0.5
ME,Mae Asian Eatery,,4,,,,,,,,,100,100,100,100,100,,,100,100,100,,,,0.5,0.5,0.5,0.5,0.5
RT,Row 34,,3,,,,,,,,100,,100,,100,,,,,,,,,,0.5,0.5,0.5,0.5,0
CE,Celeste,,4,,,,,,,,100,100,100,100,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5
BC,Breaktime Cafe,,5,,,,,,,,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.5,0.5,0.5,0.5,0.5
FV,Field & Vine,,2,,,,,,,,,,100,100,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5
MY,Mahaniyom ,,7,,,,,,,,200,200,200,200,200,200,200,,,,,,,,0.5,0.8,0.5,0.5,0.5
RC,Reign Drink Lab (REIGNcafe),,5,,,,,,,,300,,300,300,,300,,300,300,300,300,300,300,,0.5,0.8,0.5,0.5,0.5
CL,Cafe Luna ,,6,300,300,300,300,300,300,300,300,300,300,300,300,300,300,,,,,,,,0.5,0.5,0.5,0.5,0.5
