code,name,priority_rank,region,zone,breakfast_mon,breakfast_tues,breakfast_wed,breakfast_thurs,breakfast_fri,breakfast_sat,breakfast_sun,lunch_mon,lunch_tues,lunch_wed,lunch_thurs,lunch_fri,lunch_sat,lunch_sun,dinner_mon,dinner_tues,dinner_wed,dinner_thurs,dinner_fri,dinner_sat,dinner_sun
4,Brigham and Women's Hospital - ED,1,Longwood / Back Bay,1,,,,,,,,,,100,,,,100,,,100,,,,100
15,Whittier Street Health Center,2,Longwood / Back Bay,1,,,,,,,,,,,,,,,,,,,,,
18,Boston Children's Hospital - ED,1,Longwood / Back Bay,1,,,,,,,,,,,,,,,,,,,,,
23,Dana Farber Cancer Institute - Inpatient PAs,1,Longwood / Back Bay,1,,,,,,,,,,,,,,,,,,,,,
36,Brigham & Women's Hospital (COVID ICUs),1,Longwood / Back Bay,1,,,,,,,,210,210,210,210,210,200,200,210,210,210,210,210,200,200
52,Brigham and Women's Hospital - Central,1,Longwood / Back Bay,1,,,,,,,,,,,,,550,550,,,,,,300,300
53,Beth Israel Deaconess Medical Center - East Campus,1,Longwood / Back Bay,1,,,,150,,,,,,150,,,,,,,,,,,
54,Beth Israel Deaconess Medical Center - West Campus,1,Longwood / Back Bay,1,,150,,,,,,150,,,,150,,,,,,,,,
8,Carney Hospital - ED,1,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
9,Mattapan Community Health Center,2,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
11,Dot House Health Dorchester,2,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
13,Upham's Corner Health Center,2,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
16,Codman Square Health Center - Site 1,2,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
35,Harvard Street Neighborhood Health Center,2,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
41,Codman Square Health Center - Site 2,2,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
44,Bowdoin Street Health Center,2,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
50,Pine Street Inn Holy Family Shelter,2,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
55,Harbor Health Services Inc.,2,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
5,BWH - Faulkner ED,1,Roxbury / Jamaica Plain,2,,,,,,,,,,45,,,,45,,,45,,,,45
12,VA Medical Center - West Roxbury,1,Roxbury / Jamaica Plain,2,,,,,,,,,,,,,,,,,,,,,
19,Southern Jamaica Plain Health Center (part of Brigham & Women's),2,Roxbury / Jamaica Plain,2,,,,,,,,,,,,,,,,,,,,,
31,BWH - Faulkner 7N Covid Unit,1,Roxbury / Jamaica Plain,2,,,,,,,,18,18,18,18,18,18,18,34,34,34,34,34,34,34
32,BWH - Faulkner ICU,1,Roxbury / Jamaica Plain,2,,,,,,,,17,17,17,17,17,17,17,15,15,15,15,15,15,15
40,Dimock Center,2,Roxbury / Jamaica Plain,2,,,,,,,,,,,,,,,,,,,,,
49,Pine Street Inn Shattuck Shelter,2,Roxbury / Jamaica Plain,2,,,,,,,,,,,,,,,,,,,,,
51,BWH - Faulkner Hospital Central,1,Roxbury / Jamaica Plain,2,,,,,,,,,,,,,100,100,,,,,,,
7,Boston Healthcare for the Homeless - Tents,1,South Boston,2,,,,,,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12
28,Boston Medical Center,1,South Boston,2,,,,,,,,400,400,400,400,400,,,,,,,,150,150
30,South Boston Community Health Center,2,South Boston,2,,,,,,,,,,,,,,,,,,,,,
39,Boston Healthcare for the Homeless - Albany Street,1,South Boston,2,,,,,,,,115,115,115,115,115,50,50,20,20,20,20,20,20,20
45,South End Community Health Center,2,South Boston,2,,,,,,,,,,,,,,,,,,,,,
47,Pine Street Inn - Site 1,2,South Boston,2,,,,,,,,,,,,,,,,,,,,,
48,Pine Street Inn - Site 2,2,South Boston,2,,,,,,,,,,,,,,,,,,,,,
10,East Boston Neighborhood Health Center,2,East / North,3,,,,,,,,,,,,,,,,,,,,,
14,BIDMC - Chelsea,2,East / North,3,,,,,,,,,,,,,,,,,,,,,
25,Cambridge Health Alliance - Everett Hospital,1,East / North,3,,,,,,,,,,,,,,,,,,,,,
29,Tufts Medical Center,1,East / North,3,,,,,,,,,,,,,,,,,,,,,
34,Massachusetts General Hospital - PICU,1,East / North,3,,30,,,30,,20,30,,30,30,30,,,,20,20,,,20,
37,Massachusetts General Hospital - Central,1,East / North,3,,,,,,,,,500,,500,,300,,500,,500,,500,,300
46,Boston EMS - South End,1,East / North,3,20,7,25,,,,,25,20,25,33,45,,,,,,,,,
24,Cambridge Health Alliance - Cambridge Hospital,1,Cambridge / Brighton,4,,,,,,,,,,,,,,,,,,,,,
42,Mt. Auburn Hospital,1,Cambridge / Brighton,4,,,,,,,,,,,,,,,,,,,,,
20,Charles River Community Health,2,Allston / Newton,5,,,,,,,,,,,,,,,,,,,,,
33,Newton Wellesley Hospital,1,Allston / Newton,5,,,,,,,,,,,,,,,,,,,,,
43,Steward St. Elizabeth's Medical Center,1,Allston / Newton,5,,,,,,,,,,,,,,,,,,,,,
