code,name,priority,max_days_per_week,breakfast_mon,breakfast_tues,breakfast_wed,breakfast_thurs,breakfast_fri,breakfast_sat,breakfast_sun,lunch_mon,lunch_tues,lunch_wed,lunch_thurs,lunch_fri,lunch_sat,lunch_sun,dinner_mon,dinner_tues,dinner_wed,dinner_thurs,dinner_fri,dinner_sat,dinner_sun,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7
PG,Pagu,0.5,7,,,,,,,,600,600,600,600,600,600,600,600,600,600,600,600,600,600,0.5,0.5,0.5,0.5,0.5,,
LD,Little Donkey,1,7,,,,,,,,400,,,,,400,,400,400,400,400,400,400,,0.5,0.5,0.5,0.5,0.5,,
MM,Mei Mei,1,3,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,,
PO,Porto,1,5,,,,,,,,300,300,300,300,300,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,,
CS,Cafe Sushi,1,2,,,,,,,,,,,,,,,,0,0,0,,,,0.5,0.5,0.5,0.5,0.5,,
SU,Suya,2,7,,,,,,,,400,400,400,400,400,400,400,500,500,500,500,500,500,500,0.5,0.5,0.5,0.5,0.5,,
MD,MIDA,1,7,,,,,,,,,500,,,,,500,500,500,500,500,500,500,500,0.5,0.5,0.5,0.5,0.5,,
SH,Shojo & China Pearl,2,7,,,,,,,,225,225,225,225,225,225,225,225,225,225,225,225,225,225,0.5,0.5,0.5,0.5,0.5,,
BB,Banyan Bar + Refuge (The Gallows Group),2,7,,,,,,,,,300,300,300,300,300,300,,300,300,300,300,300,300,0.5,0.5,0.5,0.5,0.5,,
ME,Mae Asian Eatery,1,4,,,,,,,,,150,150,150,150,150,,,200,200,200,,,,0.5,0.5,0.5,0.5,0.5,,
RT,Row 34,1,3,,,,,,,,200,,200,,200,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,,
CE,Celeste,1,4,,,,,,,,150,150,150,150,150,150,150,150,150,,,,,150,0.5,0.5,0.5,0.5,0.5,,
BC,Breaktime Cafe,1,5,,,,,,,,,300,300,300,300,,,,300,300,300,300,,,0.5,0.5,0.5,0.5,0.5,,
FV,Field & Vine,1,2,,,,,,,,,,100,100,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,,
MY,Mahaniyom,1,7,,,,,,,,200,200,200,200,200,200,200,,,,,,,,0.5,0.5,0.5,0.5,0.5,,
CL,Cafe Luna,1,6,,,,,,,,300,300,300,300,300,300,300,,,,,,,,0.5,0.5,0.5,0.5,0.5,,
FC,Flour Cafe,1,5,,,,,,,,300,300,300,300,300,,,100,100,100,100,100,,,0.5,0.5,0.5,0.5,0.5,,
RD,Reign Drink Lab (REIGNcafe),1,5,,,,,,,,300,,300,300,,300,,300,300,300,300,300,300,,0.5,0.5,0.5,0.5,0.5,,
JC,JUGOS,1,7,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,,
NT,Naco Taco,1,7,,,,,,,,400,400,400,400,400,400,400,400,400,400,400,400,400,400,0.5,0.5,0.5,0.5,0.5,,
TB,Tarboosh,1,5,,,,,,,,70,70,70,70,70,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,,
NL,Noodle Lab,1,7,,,,,,,,450,450,450,450,450,450,450,450,450,450,450,450,450,450,0.5,0.5,0.5,0.5,0.5,,
IK,Infused Kreyol,1,2,,,,,,,,150,,150,150,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,,
RO,Rootastes,1,4,,,,,,,,200,200,200,200,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,,
PM,Phinix Mediterranean Kitchen,1,7,,,,,,,,400,400,400,400,400,400,400,400,400,400,400,400,400,400,,,,,,,0.5
LP,Las Palmas Restaurant,1,5,,,,,,,,250,250,250,250,250,,,250,250,250,250,250,,,,,,,,,0.5
PS,Pho Sure,1,7,,,,,,,,200,200,200,200,200,200,200,200,200,200,200,200,200,200,,,,,,0.5,
TK,TamBo's Kitchen,1,7,,,,,,,,200,200,200,200,200,200,200,,,,,,,200,,,,,,,0.5
HH,Haley House Bakery Cafe,1,4,,,,,,,,,,100,100,,,,,,100,100,,,,0.5,0.5,0.5,0.5,0.5,,
