code,name,founder,max_days_per_week,breakfast_mon,breakfast_tues,breakfast_wed,breakfast_thurs,breakfast_fri,breakfast_sat,breakfast_sun,lunch_mon,lunch_tues,lunch_wed,lunch_thurs,lunch_fri,lunch_sat,lunch_sun,dinner_mon,dinner_tues,dinner_wed,dinner_thurs,dinner_fri,dinner_sat,dinner_sun,zone_1,zone_2,zone_3,zone_4,zone_5
PG,Pagu,1,7,,,,,,,,700,700,700,700,700,700,700,700,700,700,700,700,700,700,1,1,1,,
LD,Little Donkey,1,7,200,200,200,200,200,200,200,700,700,700,700,700,700,700,500,500,500,500,500,500,500,1,1,1,,
MM,Mei Mei Restaurant,,3,,,,,,,,,,,,,,,,,,,120,120,120,1,1,1,,
PO,Porto,,5,,,,,,,,300,300,300,300,300,,,,,,,,,,1,1,1,1,
FC,Flour Cafe,,5,,,,,,,,400,400,400,400,400,,,100,100,100,100,100,100,,1,1,1,1,0.25
CS,Cafe Sushi,,2,,,,,,,,,,,,,,,,100,100,100,,,,1,1,1,1,
SU,Suya,,7,,,,,,,,500,500,500,500,500,500,500,500,500,500,500,500,500,500,1,1,1,1,
IG,Iggy's Bakery,,7,,,,,,,,200,200,200,200,200,200,200,,,,,,,,1,1,1,1,
MD,MIDA ,,7,,,,,,,,400,400,400,400,400,400,400,400,400,400,400,400,400,400,1,1,1,1,
SH,Shojo & China Pearl,,7,,,,,,,,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1,1,1,1,
BB,Banyan Bar + Refuge (The Gallows Group),,7,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,1,1,1,1,
ME,Mae Asian Eatery,,4,,,,,,,,,100,100,100,100,100,,,100,100,100,,,,,,,1,1
RT,Row 34,,3,,,,,,,,150,,150,,150,,,,,,,,,,1,1,1,1,0.5
