code,name,priority_rank,region,zone,breakfast_mon,breakfast_tues,breakfast_wed,breakfast_thurs,breakfast_fri,breakfast_sat,breakfast_sun,lunch_mon,lunch_tues,lunch_wed,lunch_thurs,lunch_fri,lunch_sat,lunch_sun,dinner_mon,dinner_tues,dinner_wed,dinner_thurs,dinner_fri,dinner_sat,dinner_sun
2,Swedish Hospital Foundation, 2 ,North,1,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
14,Erie - Helping Hands, 1 ,North,1,,,,,,,,40,40,40,40,40,,,,,,,,,
15,Erie - Foster Ave, 1 ,North,1,,,,,,,,40,40,40,40,40,,,,,,,,,
16,Erie - Evanston/Skokie, 1 ,North,1,,,,,,,,40,40,40,40,40,,,,,,,,,
33,"St. Mary's Home, Little Sisters of the Poor", 1 ,North,1,,,,,,12,,,,,,,,,,,,,,50,
7,Shirley Wong Clinic, 1 ,Downtown,2,,,,,,,,8,8,8,8,8,,,,,,,,,
31,LCHC Hotel Site (Hotel One Sixty-Six), 1 ,Downtown,2,,,,,,,,30,30,30,30,30,30,30,,,,,,,
3,University of Illinois Hospital, 3 ,Near West,3,,,150,,,,,,,,150,,,,,,,,150,,
4,Saint Anthony Hospital, 2 ,Near West,3,40,40,40,40,40,,,,,,,,50,50,90,90,90,,90,,
5,Lawndale Christian Health Center, 1 ,Near West,3,,,,,,,,175,175,175,175,175,,,,,,,,,
6,Sinai Health System, 2 ,Near West,3,600,600,600,600,600,250,250,,,,,,,,300,300,300,300,300,200,200
11,Erie - West Town, 1 ,Near West,3,,,,,,,,40,40,40,40,40,,,,,,,,,
12,Erie - Humboldt Park, 1 ,Near West,3,,,,,,,,40,40,40,40,40,,,,,,,,,
13,Erie - Division St, 1 ,Near West,3,,,,,,,,40,40,40,40,40,,,,,,,,,
23,PCC West Town, 1 ,Near West,3,,,,,,,,17,17,17,17,17,,,,,,,,,
24,PCC Clinic at The Boulevard, 1 ,Near West,3,,,,,,,,3,3,3,3,3,,,,,,,,,
30,UIC College of Dentistry, 1 ,Near West,3,,,,,,,,40,40,40,40,40,,,,,,,,,
32,Jesse Brown VA Medical Center, 1 ,Near West,3,,,,,,200,200,400,400,400,400,400,,,,,,,,,
8,West Suburban Medical Center, 1 ,West,4,120,120,120,120,120,120,120,,,,120,120,120,120,100,100,100,100,100,100,100
10,West Suburban Medical Center Emergency Department, 1 ,West,4,,,,,,,,30,30,30,30,30,,,30,30,30,30,30,,
18,PCC Walk In West Suburban, 2 ,West,4,,,,,,,,20,20,20,20,20,,,,,,,,,
19,PCC Community Wellness Center West Suburban, 2 ,West,4,,,,,,,,10,10,10,10,10,,,,,,,,,
20,PCC Melrose, 1 ,West,4,,,,,,,,20,,,,,,,,,,,,,
21,PCC Salud Family Health Center, 1 ,West,4,,,,,,,,20,20,20,20,20,,,,,,,,,
22,PCC Austin, 1 ,West,4,,,,,,,,40,40,40,40,40,,,,,,,,,
25,PCC Community Wellness Center Steinmetz, 1 ,West,4,,,,,,,,15,15,15,15,15,,,,,,,,,
26,The Loretto Hospital, 1 ,West,4,100,100,100,100,100,75,75,,,,,,,,100,100,100,100,100,75,75
34,PCC Erie Court Health Center, 1 ,West,4,,,,,,,,10,10,10,10,10,,,,,,,,,
35,PCC South Family Health Center, 1 ,West,4,,,,,,,,20,20,20,20,20,,,,,,,,,
36,PCC Lake Family Health Center, 2 ,West,4,,,,,,,,30,30,30,30,30,,,,,,,,,
1,University of Chicago - Internal Medicine, 3 ,South,5,,,,,,,,,,,,,30,30,12,12,12,12,,,
27,Mile Square Health Center South Shore, 1 ,South,5,,,,,,,,25,25,25,25,25,,,,,,,,,
28,Mile Square Englewood Site, 1 ,South,5,,,,,,,,15,15,15,15,15,,,,,,,,,
9,Roseland Community Hospital, 1 ,South Suburb,6,125,125,125,125,125,75,75,120,120,120,120,120,75,75,70,70,70,70,70,75,75
29,Franciscan St James, 1 ,South Suburb,6,,,,,,,,25,25,25,25,25,,,,,,,,,
